drugId,drugName,typeOfdrug,remarks
341,"Aspirin Disper_Tab 75mg",NULL,NULL
342,"Aspirin_Tab 75mg",NULL,NULL
343,"Aspirin_Tab E/C 75mg",NULL,NULL
648,"Aspirin Disper_Tab 300mg",NULL,NULL
2175,"Aspirin_Tab E/C 300mg",NULL,NULL
2627,"Aspirin_Tab 300mg",NULL,NULL
2937,"Aspirin/Metoclop_Pdr Sach 900mg/10mg S/F",NULL,NULL
7187,"Dipyridamole M/R/Aspirin_Cap 200mg/25mg",NULL,NULL
12700,"Aspirin_Suppos 150mg",NULL,NULL
13992,"Aspirin/Codeine Phos_Tab Disper 500/8mg",NULL,NULL
15966,"Aspirin/Caffeine_Tab 325mg/15mg",NULL,NULL
17335,"Pure Health_Aspirin Disper Tab 75mg",NULL,NULL
17613,"Aspirin_Suppos 300mg",NULL,NULL
17808,"Aspirin_Liq Spec 62.5mg/5ml",NULL,NULL
20608,Aspirin_(S),NULL,NULL
21534,"Aspirin_Liq Spec 30mg/5ml",NULL,NULL
21579,"Aspirin_Liq Spec 37.5mg/5ml",NULL,NULL
22220,"Aspirin_Liq Spec 15mg/5ml",NULL,NULL
23572,"Aspirin_Pdr Sach 37.5mg",NULL,NULL
